year,rank,office,girl,Protem
1974,12,Grand Religion,11909,0
1974,13,Grand Nature,11908,0
1974,14,Grand Immortality,11907,0
1974,15,Grand Fidelity,11906,0
1974,16,Grand Patriotism,11905,0
1974,17,Grand Service,11904,0
1974,18,Grand Confidential Observer,11903,0
1974,19,Grand Outer Observer,11902,0
1974,20,Grand Musician,11901,0
1974,21,Grand Choir Director,11900,0
1973,1,Grand Worthy Advisor,12017,0
1973,2,Grand Worthy Associate Advisor,11918,0
1973,3,Grand Charity,12016,0
1973,4,Grand Hope,12015,0
1973,5,Grand Faith,12014,0
1973,7,Grand Recorder,12013,0
1973,8,Grand Treasurer,12012,0
1973,9,Grand Chaplain,12011,0
1973,10,Grand Drill Leader,12010,0
1973,11,Grand Love,11717,0
1973,12,Grand Religion,12009,0
1973,13,Grand Nature,12008,0
1973,14,Grand Immortality,12007,0
1973,15,Grand Fidelity,12006,0
1973,16,Grand Patriotism,12005,0
1973,17,Grand Service,12004,0
1973,18,Grand Confidential Observer,12003,0
1973,19,Grand Outer Observer,12002,0
1973,20,Grand Musician,12001,0
1973,21,Grand Choir Director,12000,0
